id;year;starting_date;ending_date
1;2022-2023;2022-09-01T00:00:00;2023-06-01T00:00:00
2;2023-2024;2023-09-01T00:00:00;2024-06-01T00:00:00
3;huzzah;2023-12-19T02:41:25;2023-12-19T06:57:04
4;that unlearn;2023-12-19T13:22:25;2023-12-19T04:44:13
5;wholly after;2023-12-18T23:35:24;2023-12-19T02:18:48
6;reunion ick;2023-12-19T18:57:59;2023-12-19T17:41:40
7;alongside besides though;2023-12-19T01:47:05;2023-12-19T16:03:17
8;simulcast lovingly separately;2023-12-19T00:00:27;2023-12-19T07:16:44
9;leading boohoo;2023-12-19T13:17:16;2023-12-19T15:33:53
10;modulo;2023-12-19T14:47:51;2023-12-19T03:37:38
