id;title;objectif;docs;deadline;tooth_id;academic_year_id
1;gadzooks geez;upload after;tomorrow;2023-12-21T23:38:10;1;1
2;up deep;fiercely mmm even;energize trunk with;2023-12-21T15:14:52;2;2
3;deter up traverse;modulo honestly;selfishly;2023-12-22T01:20:02;3;3
4;modulo affirm;for;when thrifty ew;2023-12-21T14:44:15;4;4
5;supposing ecstatic;sans yuck instead;since who pish;2023-12-21T13:30:48;5;5
6;score yesterday;often;and yahoo ha;2023-12-21T10:39:16;6;6
7;graceful unnaturally unibody;strictly clank ah;sequence;2023-12-21T20:55:17;7;7
8;vice after physically;digest homogenate;quietly zowie;2023-12-22T03:47:43;8;8
9;stamp;beside;until;2023-12-21T13:32:23;9;9
10;always;yippee;psst;2023-12-21T20:43:26;10;10
