id;time;image_front;image_front_content_type;image_side;image_side_content_type;date;note;a_1_image_side;a_2_image_side;a_3_image_side;p_1_image_side;p_2_image_side;p_3_image_side;a_1_image_front;a_2_image_front;a_3_image_front;p_1_image_front;p_2_image_front;p_3_image_front;student_id;pw_id;academic_year_id
1;nightgown searchingly smart;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-22T02:01:20;19;20039.41;31593.21;3902.78;21429.03;28251.97;13461.73;1380.12;2245.55;26718.01;27438.46;20240.77;235.56;1;1;2
2;once below nor;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-22T01:50:16;12;19437.25;24835.98;14678.92;13066.21;8868.27;14351.45;32031.1;15518.42;19400.01;15897.21;14621.21;17069.92;2;1;2
3;calibrate ouch;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-21T23:54:01;15;14613.35;13800.11;19572.94;21293.23;24545.27;7604.63;30875.22;13012.58;21626.22;19933.75;21943.32;26654.69;1;2;2
4;wetly boohoo modernize;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-22T00:42:18;8;3054.86;32159.06;19662.74;19828.65;14596.95;10698.95;16356.6;1306.86;22350.23;28506.33;18565.34;18685.86;1;3;2
5;consequently decentralise;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-21T09:17:13;9;16182.97;26599.04;12209.94;25507.67;652.43;24189.27;17488.41;8119.31;11094.71;12474.53;30260.68;15385.55;1;4;2
6;mod violently;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-22T06:36:13;12;26692.37;10086.51;22128.31;4387.78;16762.58;30640.75;1792.69;10329.06;28389.41;20687.77;23225.2;19354.4;2;2;2
7;tune;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-21T21:40:50;18;522.96;1482.81;3223.08;408.54;13063.24;107.8;19167.65;12413.41;17609.83;28507.28;20872.96;11514.04;2;3;2
8;loftily correctly oof;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-21T21:44:26;15.5;29401.89;214.17;144.28;32458.3;20769.27;14448.47;14809.28;29681.06;29390;18153.96;15615.31;31161.55;2;4;2
9;than geez overgeneralize;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-22T05:31:30;11;28265.54;4053.57;30811.5;13694.4;10059.33;30275.65;22941.32;7545.17;9016.24;11882.09;11902.27;13176.94;1;5;2
10;schedule bongo;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2023-12-22T02:39:47;10.1;24811.26;13505.95;7969.23;21301.77;21481.86;8962.21;1532.09;17353.16;22680.05;23253.33;29712.55;25916.79;2;5;2
